Question,Category,Sub Category
I can't access recorded lectures or they're not playing. What should I do?,product-support,lms-learning-management-system
Does Foundation/Pre-req Attendance be considered for overall program clearnance?,attendance-query,attendance-tracking
How is attendance calculated?,attendance-query,attendance-tracking
What is the attendance criteria to clear the program?,attendance-query,attendance-tracking
How can I track my attendance for class ?,attendance-query,attendance-criteria
I have been marked absent even though I have attended the class.,attendance-query,attendance-marked-incorrectly
The attendance status has not been updated even after watching the whole recording,attendance-query,attendance-marked-incorrectly
How often will assessments be conducted during the program?,evaluation,evaluation-plan
Do the Foundation/Pre-req session have evaluations at the end?,evaluation,evaluation-plan
Where will my offline exam be conducted?,evaluation,offline-exams
When will the offline exams be conducted?,evaluation,offline-exams
How can I refer someone to join a program?,referrals,referrals
When will the referral amount be transferred?,referrals,referrals
How can i update the bank account details for a referral?,referrals,referrals
Can we visit the campus as a part of the program?,campus-connect,campus-connect
Is campus immersion a mandatory part of the program?,campus-connect,campus-connect
What does the campus immersion experience include?,campus-connect,campus-connect
When will the campus immersion be scheduled?,campus-connect,campus-connect
Question,program-related-query,program-clearance-criteria
what is criteria to avail placement support?,program-related-query,program-structure
Could you please share the program structure & share the topics that will be covered?,program-related-query,time-table
When will I get my student kit?,student-kit,student-kit
How can i update the details in my student kit form?,student-kit,student-kit
Could you please provide an update on the delivery status of my student kit?,student-kit,student-kit
How can I update the details in my student kit form?,student-kit,student-kit
I filled something incorrectly—can I edit my information?,student-kit,student-kit
I entered the wrong address—what should I do now?,student-kit,student-kit
My name is incorrect on the form. Can it be corrected?,student-kit,student-kit
I have already submitted the form—how do I make changes?,student-kit,student-kit
Will my kit still be delivered if I made a mistake in the form?,student-kit,student-kit
Could you please connect me with my mentor for guidance and support?,learning-support,mentor-support
"I need help in assignment, i want a doubt clearning session?",product-support,assignment 
I am facing issues with Zoom/Nolan account authentication. Could you please assist me in resolving this?,product-support,zoom/nolan-authentication
how do i join WA community  for my batch?,product-support,product-support
I am unable to log in to the LMS. Could you please assist me in resolving this issue?,product-support,lms-learning-management-system
Where can I find lecture PPTs and notes?,product-support,lecture
My assignments show as overdue but I can't submit them. What should I do?,product-support,assignment 
What is my attendance & How can I track my attendance for class ?,attendance-query,attendance-query
When is my next evaluation?,evaluation,schedule-and-weightage
Can you share weightage of all the evaluation?,evaluation,schedule-and-weightage
Question,program-related-query,program-clearance-criteria
what is criteria to avail placement support?,program-related-query,program-structure
Could you please share the program structure & share the topics that will be covered?,program-related-query,time-table
When will I get my student kit?,student-kit,student-kit
How can i update the details in my student kit form?,student-kit,student-kit
Could you please provide an update on the delivery status of my student kit?,student-kit,student-kit
How can I update the details in my student kit form?,student-kit,student-kit
